Meter,Date,Time,,Timestamp,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances ,Mode
Bolt-003,02/07/2020,17:08:43,07/02/2020 17:08:43,1581095323,2.40,240,574.94,9.84,,
,02/07/2020,17:08:44,07/02/2020 17:08:44,1581095324,2.44,240,584.78,-17.72,,
,02/07/2020,17:08:45,07/02/2020 17:08:45,1581095325,2.36,240,567.06,12.52,,
,02/07/2020,17:08:46,07/02/2020 17:08:46,1581095326,2.41,240,579.57,-3.43,,
,02/07/2020,17:08:47,07/02/2020 17:08:47,1581095327,2.40,240,576.14,-1.07,,
,02/07/2020,17:08:49,07/02/2020 17:08:49,1581095329,2.40,240,575.07,-1.24,,
,02/07/2020,17:08:50,07/02/2020 17:08:50,1581095330,2.39,240,573.83,3.85,,
,02/07/2020,17:08:51,07/02/2020 17:08:51,1581095331,2.41,240,577.68,-6.59,,
,02/07/2020,17:08:52,07/02/2020 17:08:52,1581095332,2.38,240,571.09,12.12,,
,02/07/2020,17:08:53,07/02/2020 17:08:53,1581095333,2.43,240,583.21,-4.40,,
,02/07/2020,17:08:55,07/02/2020 17:08:55,1581095335,2.41,240,578.81,-4.87,,
,02/07/2020,17:08:56,07/02/2020 17:08:56,1581095336,2.39,240,573.94,0.42,,
,02/07/2020,17:08:57,07/02/2020 17:08:57,1581095337,2.39,240,574.36,6.90,,
,02/07/2020,17:08:58,07/02/2020 17:08:58,1581095338,2.42,240,581.26,0.02,,
,02/07/2020,17:08:59,07/02/2020 17:08:59,1581095339,2.42,240,581.28,-13.14,,
,02/07/2020,17:09:01,07/02/2020 17:09:01,1581095341,2.37,240,568.15,9.66,,
,02/07/2020,17:09:02,07/02/2020 17:09:02,1581095342,2.41,240,577.81,-1.11,,
,02/07/2020,17:09:03,07/02/2020 17:09:03,1581095343,2.40,240,576.70,-0.41,,
,02/07/2020,17:09:04,07/02/2020 17:09:04,1581095344,2.40,240,576.29,3.30,,
,02/07/2020,17:09:05,07/02/2020 17:09:05,1581095345,2.41,240,579.59,-3.37,,
,02/07/2020,17:09:07,07/02/2020 17:09:07,1581095347,2.40,240,576.22,-7.84,,
,02/07/2020,17:09:08,07/02/2020 17:09:08,1581095348,2.37,240,568.37,15.70,,
,02/07/2020,17:09:09,07/02/2020 17:09:09,1581095349,2.43,240,584.08,-1.92,,
,02/07/2020,17:09:10,07/02/2020 17:09:10,1581095350,2.43,240,582.15,-0.93,,
,02/07/2020,17:09:11,07/02/2020 17:09:11,1581095351,2.42,240,581.22,-15.15,,
,02/07/2020,17:09:13,07/02/2020 17:09:13,1581095353,2.36,240,566.07,15.34,,
,02/07/2020,17:09:14,07/02/2020 17:09:14,1581095354,2.42,240,581.42,-1.33,,
,02/07/2020,17:09:15,07/02/2020 17:09:15,1581095355,2.42,240,580.09,-4.32,,
,02/07/2020,17:09:16,07/02/2020 17:09:16,1581095356,2.40,240,575.77,0.32,,
,02/07/2020,17:09:17,07/02/2020 17:09:17,1581095357,2.40,240,576.09,6.34,,
,02/07/2020,17:09:19,07/02/2020 17:09:19,1581095359,2.43,240,582.44,-1.41,,
,02/07/2020,17:09:20,07/02/2020 17:09:20,1581095360,2.42,240,581.03,-7.28,,
,02/07/2020,17:09:21,07/02/2020 17:09:21,1581095361,2.39,240,573.75,6.00,,
,02/07/2020,17:09:22,07/02/2020 17:09:22,1581095362,2.42,240,579.75,1.81,,
,02/07/2020,17:09:23,07/02/2020 17:09:23,1581095363,2.42,240,581.56,-9.06,,
,02/07/2020,17:09:24,07/02/2020 17:09:24,1581095364,2.39,240,572.50,7.66,,
,02/07/2020,17:09:26,07/02/2020 17:09:26,1581095366,2.42,240,580.16,0.23,,
,02/07/2020,17:09:27,07/02/2020 17:09:27,1581095367,2.42,240,580.39,-5.27,,
,02/07/2020,17:09:28,07/02/2020 17:09:28,1581095368,2.40,240,575.12,2607.25,,
,02/07/2020,17:09:29,07/02/2020 17:09:29,1581095369,13.26,240,3182.38,-381.52,Non inverter Aircond ON (Panasonic Non Inverter Air Conditioner 3hp),"16 Degree Celcius, Cold"
,02/07/2020,17:09:30,07/02/2020 17:09:30,1581095370,11.67,240,2800.86,146.13,,
,02/07/2020,17:09:32,07/02/2020 17:09:32,1581095372,12.28,240,2946.99,127.88,,
,02/07/2020,17:09:33,07/02/2020 17:09:33,1581095373,12.81,240,3074.87,101.77,,
,02/07/2020,17:09:34,07/02/2020 17:09:34,1581095374,13.24,240,3176.63,35.62,,
,02/07/2020,17:09:35,07/02/2020 17:09:35,1581095375,13.38,240,3212.25,86.02,,
,02/07/2020,17:09:37,07/02/2020 17:09:37,1581095377,13.74,240,3298.27,8.67,,
,02/07/2020,17:09:38,07/02/2020 17:09:38,1581095378,13.78,240,3306.94,-43.94,,
