Date,Timestamp,,Timestamp,Phase 1,Phase 2,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances
07/07/2020,14:00:49,07/07/2020 14:00:49,1594130449.00,0.92,0.57,1.49,240,358.06,-0.11,INIT
07/07/2020,14:00:51,07/07/2020 14:00:51,1594130451.00,0.92,0.58,1.49,240,357.95,-2.35,INIT
07/07/2020,14:00:52,07/07/2020 14:00:52,1594130452.00,0.92,0.57,1.48,240,355.60,-2.47,INIT
07/07/2020,14:00:53,07/07/2020 14:00:53,1594130453.00,0.91,0.56,1.47,240,353.13,0.35,INIT
07/07/2020,14:00:55,07/07/2020 14:00:55,1594130455.00,0.91,0.56,1.47,240,353.48,0.60,INIT
07/07/2020,14:00:56,07/07/2020 14:00:56,1594130456.00,0.91,0.56,1.48,240,354.08,4.15,INIT
07/07/2020,14:00:57,07/07/2020 14:00:57,1594130457.00,0.93,0.57,1.49,240,358.23,-5.43,INIT
07/07/2020,14:00:59,07/07/2020 14:00:59,1594130459.00,0.91,0.56,1.47,240,352.80,1.66,INIT
07/07/2020,14:01:00,07/07/2020 14:01:00,1594130460.00,0.91,0.56,1.48,240,354.46,2.31,INIT
07/07/2020,14:01:01,07/07/2020 14:01:01,1594130461.00,0.92,0.57,1.49,240,356.77,0.70,INIT
07/07/2020,14:01:03,07/07/2020 14:01:03,1594130463.00,0.92,0.57,1.49,240,357.47,-3.83,INIT
07/07/2020,14:01:04,07/07/2020 14:01:04,1594130464.00,0.91,0.56,1.47,240,353.64,0.27,INIT
07/07/2020,14:01:05,07/07/2020 14:01:05,1594130465.00,0.91,0.57,1.47,240,353.91,2.35,INIT
07/07/2020,14:01:07,07/07/2020 14:01:07,1594130467.00,0.92,0.56,1.48,240,356.26,1.30,INIT
07/07/2020,14:01:08,07/07/2020 14:01:08,1594130468.00,0.92,0.57,1.49,240,357.56,-5.19,INIT
07/07/2020,14:01:09,07/07/2020 14:01:09,1594130469.00,0.91,0.56,1.47,240,352.37,-0.16,INIT
07/07/2020,14:01:10,07/07/2020 14:01:10,1594130470.00,0.91,0.56,1.47,240,352.21,5.84,INIT
07/07/2020,14:01:12,07/07/2020 14:01:12,1594130472.00,0.93,0.56,1.49,240,358.06,-3.86,INIT
07/07/2020,14:01:13,07/07/2020 14:01:13,1594130473.00,0.92,0.56,1.48,240,354.20,-1.06,INIT
07/07/2020,14:01:14,07/07/2020 14:01:14,1594130474.00,0.92,0.56,1.47,240,353.13,-2.12,INIT
07/07/2020,14:01:16,07/07/2020 14:01:16,1594130476.00,0.91,0.55,1.46,240,351.01,4.82,INIT
07/07/2020,14:01:17,07/07/2020 14:01:17,1594130477.00,0.91,0.57,1.48,240,355.83,-4.06,INIT
07/07/2020,14:01:18,07/07/2020 14:01:18,1594130478.00,0.91,0.56,1.47,240,351.77,1.42,INIT
07/07/2020,14:01:20,07/07/2020 14:01:20,1594130480.00,0.90,0.57,1.47,240,353.19,2.21,INIT
07/07/2020,14:01:21,07/07/2020 14:01:21,1594130481.00,0.92,0.56,1.48,240,355.40,-0.91,INIT
07/07/2020,14:01:22,07/07/2020 14:01:22,1594130482.00,0.92,0.56,1.48,240,354.49,2.86,INIT
07/07/2020,14:01:24,07/07/2020 14:01:24,1594130484.00,0.92,0.57,1.49,240,357.35,-4.64,INIT
07/07/2020,14:01:25,07/07/2020 14:01:25,1594130485.00,0.91,0.56,1.47,240,352.71,0.84,INIT
07/07/2020,14:01:26,07/07/2020 14:01:26,1594130486.00,0.91,0.56,1.47,240,353.55,2.60,INIT
07/07/2020,14:01:28,07/07/2020 14:01:28,1594130488.00,0.92,0.56,1.48,240,356.15,-3.54,INIT
07/07/2020,14:01:29,07/07/2020 14:01:29,1594130489.00,0.91,0.56,1.47,240,352.61,-1.03,INIT
07/07/2020,14:01:31,07/07/2020 14:01:31,1594130491.00,0.91,0.55,1.46,240,351.59,2.65,INIT
07/07/2020,14:01:31,07/07/2020 14:01:31,1594130491.00,0.92,0.56,1.48,240,354.24,6.35,INIT
07/07/2020,14:01:33,07/07/2020 14:01:33,1594130493.00,0.93,0.57,1.50,240,360.59,-5.36,INIT
07/07/2020,14:01:34,07/07/2020 14:01:34,1594130494.00,0.92,0.56,1.48,240,355.24,0.09,INIT
07/07/2020,14:01:35,07/07/2020 14:01:35,1594130495.00,0.93,0.55,1.48,240,355.32,6.60,INIT
